condition,prediction,accuracy,numerosity,fitness,selected_feature_indices,original_feature_indices,correct_count,match_count
"[[-0.07869527190923709, 4.678082440793514], [0.14765142649412155, 6.848194845020771], [0.35408629745244946, 6.544960600435735]]",Anomalous,0.9464285714285714,3,0.5766050290968954,"[40, 48, 15]","[1049, 1262, 474]",53,56
"[[-0.07869527190923709, 4.678082440793514], [0.14765142649412155, 6.848194845020771], [0.35408629745244946, 6.544960600435735], [1.7320358258485795, 5.78008632838726]]",Anomalous,1.0,2,1.0,"[40, 48, 15, 31]","[1049, 1262, 474, 817]",19,19
"[[-0.07869527190923709, 4.678082440793514], [1.7320358258485795, 5.78008632838726], [-1.9106114029884338, 2.108772132769227], [2.003959903717041, 5.092623462677002]]",Anomalous,1.0,2,1.0,"[40, 31, 5, 18]","[1049, 817, 217, 513]",5,5
"[[-1.6797260224819184, 1.5988639277219772], [-1.6672115206718445, 0.45203138600608517], [-1.6227943122386934, 1.6008550608158112], [-1.8440534591674804, 2.0950475454330446], [-1.8555157244205476, 2.276870270371437], [-1.6811786472797394, 1.2605786016583442], [-1.8635925769805908, 1.4019608950614928], [-1.2518819496035576, 5.9194654151797295], [-1.6931957185268403, 2.089929431974888]]",Normal,0.9967845659163987,2,0.9683069479301107,"[15, 32, 49, 23, 11, 31, 37, 47, 22]","[474, 825, 1263, 659, 274, 817, 963, 1216, 613]",1240,1244
"[[-1.6797260224819184, 1.5988639277219772], [-1.6672115206718445, 0.45203138600608517], [-1.6227943122386934, 1.6008550608158112], [-1.8440534591674804, 2.0950475454330446], [-1.8555157244205476, 2.276870270371437], [-1.6811786472797394, 1.2605786016583442], [-1.2112549889119049, 1.4019608950614928], [-1.2518819496035576, 5.9194654151797295], [-1.6931957185268403, 2.089929431974888]]",Normal,0.9966414777497901,2,0.9669178433723529,"[15, 32, 49, 23, 11, 31, 37, 47, 22]","[474, 825, 1263, 659, 274, 817, 963, 1216, 613]",1187,1191
"[[-1.6797260224819184, 1.5988639277219772], [-1.6672115206718445, 0.45203138600608517], [-1.6227943122386934, 1.6008550608158112], [-1.8440534591674804, 2.0950475454330446], [-1.6811786472797394, 1.2605786016583442], [-1.8635925769805908, 1.4019608950614928], [-1.6900122523307801, 2.759394053220749], [-1.7641605019569397, 0.9455555039644243], [-1.776373201608658, 0.672767476439476]]",Normal,0.9955898566703418,2,0.9567635741733063,"[15, 32, 49, 23, 31, 37, 34, 16, 0]","[474, 825, 1263, 659, 817, 963, 840, 496, 27]",903,907
"[[-1.2518819496035576, 4.398005279154974], [-1.8635925769805908, 1.4019608950614928], [-1.7641605019569397, 0.9455555039644243], [-1.6900122523307801, 2.759394053220749], [-1.7112989366054534, 2.478064280748367], [-1.758002656698227, 3.0558807000517847], [-1.7288547396659852, 3.8248780775070195], [-1.6811786472797394, 2.667912869155407]]",Normal,0.9898843930635838,2,0.9033265404927986,"[47, 37, 16, 34, 39, 19, 43, 31]","[1216, 963, 496, 840, 1039, 565, 1094, 817]",685,692
"[[-1.6672115206718445, 0.45203138600608517], [-1.8555157244205476, 2.276870270371437], [-1.71348152756691, 2.3135336308469694], [-1.6227943122386934, 1.6008550608158112], [-1.6931957185268403, 2.089929431974888], [-1.2518819496035576, 5.9194654151797295], [-1.7161404550075532, 3.1877595567703247]]",Normal,0.9887218045112782,2,0.8927731461545638,"[32, 11, 35, 49, 22, 47, 13]","[825, 274, 847, 1263, 613, 1216, 408]",263,266
"[[-1.6797260224819184, 1.5988639277219772], [-1.8555157244205476, 2.276870270371437], [-1.8635925769805908, 1.4019608950614928], [-1.2518819496035576, 5.9194654151797295], [-1.6931957185268403, 2.089929431974888], [-1.71348152756691, 2.469725905060768]]",Normal,0.9885151763740772,2,0.8909091368414098,"[15, 11, 37, 47, 22, 35]","[474, 274, 963, 1216, 613, 847]",1205,1219
"[[-1.8555157244205476, 2.276870270371437], [-1.2518819496035576, 4.398005279154974], [-1.6811786472797394, 1.2605786016583442], [-1.6900122523307801, 2.759394053220749], [-1.7112989366054534, 2.478064280748367], [-1.4744347846508026, 1.1384358620643615], [-1.8202207028865816, 2.7231122401356695]]",Normal,0.9884393063583815,2,0.8902255868959841,"[11, 47, 31, 34, 39, 32, 25]","[274, 1216, 817, 840, 1039, 825, 690]",684,692
"[[-1.6227943122386934, 1.6008550608158112], [-1.8440534591674804, 2.0950475454330446], [-1.8635925769805908, 1.4019608950614928], [-1.2518819496035576, 5.9194654151797295], [-1.703491520881653, 0.9132515501976013]]",Normal,0.982200647249191,2,0.8356071739223503,"[49, 23, 37, 47, 42]","[1263, 659, 963, 1216, 1087]",1214,1236
"[[-1.8555157244205476, 2.276870270371437], [-1.6500760436058046, 0.7964785373210908], [-1.2518819496035576, 5.9194654151797295], [-1.6811786472797394, 1.2605786016583442], [-1.7676193594932557, 2.4430514389276503], [-1.6950858235359192, 4.016107254494885], [-1.6758379220962525, 3.414409790635109]]",Normal,0.9818548387096774,2,0.8326698645635686,"[11, 30, 47, 31, 2, 24, 21]","[274, 766, 1216, 817, 118, 680, 612]",1461,1488
"[[-1.6973470151424408, 1.141147144138813], [-1.6441999614238738, 1.2358380600810053]]",Normal,0.9660074165636588,2,0.7076273455371336,"[47, 10]","[1216, 245]",1563,1618
"[[-0.07869527190923709, 4.678082440793514], [1.408776108920574, 7.75085371285677], [-1.692567104101181, 2.891884127259255]]",Anomalous,0.6338028169014085,3,0.010460240035020435,"[40, 10, 20]","[1049, 245, 566]",45,71
